Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand,Sales_Value,OOS_Status,OOS_Percentage,DOI,FIFO_Priority,Replenishment_Status
2022-01-01,S004,P0008,Furniture,West,281,59,0,100.64,0,Snowy,0,118.02,Winter,0,80,5937.76,In Stock,,4.76,Pick First,Sufficient
2022-01-01,S004,P0009,Clothing,West,206,106,299,110.47,5,Snowy,0,122.04,Winter,0,98,11709.82,In Stock,,1.94,Pick First,Sufficient
2022-01-01,S004,P0010,Groceries,West,223,120,597,30.02,0,Snowy,0,29.15,Winter,0,128,3602.4,In Stock,,1.86,Pick First,Sufficient
2022-01-01,S004,P0011,Clothing,West,195,60,293,52.89,0,Snowy,0,62.29,Winter,0,61,3173.4,In Stock,,3.25,Pick First,Sufficient
2022-01-01,S004,P0012,Electronics,West,111,111,113,118.15,0,Snowy,0,133.46,Winter,0,103,13114.65,In Stock,,1.00,Pick First,Sufficient
2022-01-01,S004,P0013,Groceries,West,136,104,385,20.24,10,Snowy,0,18.9,Winter,0,110,2104.96,In Stock,,1.31,Pick First,Sufficient
2022-01-01,S004,P0014,Furniture,West,110,52,122,148.46,10,Snowy,1,178.25,Winter,0,70,7719.92,In Stock,,2.12,Pick First,Sufficient
2022-01-01,S004,P0015,Furniture,West,249,42,0,86.47,5,Snowy,0,81.87,Winter,0,44,3631.74,In Stock,,5.93,Pick First,Sufficient
2022-01-01,S004,P0016,Furniture,West,155,74,218,110.39,10,Snowy,0,101.16,Winter,0,71,8168.86,In Stock,,2.09,Pick First,Sufficient
2022-01-01,S004,P0017,Clothing,West,232,65,0,84.83,10,Snowy,0,94.7,Winter,0,85,5513.95,In Stock,,3.57,Pick First,Sufficient
2022-01-01,S004,P0018,Furniture,West,165,64,0,141.31,10,Snowy,0,150.73,Winter,0,67,9043.84,In Stock,,2.58,Pick First,Sufficient
2022-01-01,S004,P0019,Clothing,West,146,125,103,56.86,10,Snowy,0,64.61,Winter,0,111,7107.5,In Stock,,1.17,Pick First,Sufficient
2022-01-01,S004,P0020,Furniture,West,290,52,0,124.97,10,Snowy,0,110.39,Winter,0,76,6498.44,In Stock,,5.58,Pick First,Sufficient
2022-01-01,S005,P0001,Groceries,North,182,75,198,11.46,5,Snowy,0,9.92,Winter,0,84,859.5,In Stock,,2.43,Pick First,Sufficient
2022-01-01,S005,P0002,Electronics,North,131,131,474,48.68,10,Snowy,1,51.85,Winter,0,186,6377.08,In Stock,,1.00,Pick First,Sufficient
2022-01-01,S005,P0003,Toys,North,247,145,0,29.57,20,Snowy,1,26.3,Winter,0,143,4287.65,In Stock,,1.70,Pick First,Sufficient
2022-01-01,S005,P0004,Groceries,North,195,143,114,7.45,10,Snowy,0,8.33,Winter,0,121,1065.35,In Stock,,1.36,Pick First,Sufficient
2022-01-01,S005,P0005,Groceries,North,187,126,344,20.02,0,Snowy,0,18.12,Winter,0,148,2522.52,In Stock,,1.48,Pick First,Sufficient
2022-01-01,S005,P0006,Groceries,North,280,59,300,53.49,5,Snowy,0,52.34,Winter,0,67,3155.91,In Stock,,4.75,Pick First,Sufficient
2022-01-01,S005,P0007,Groceries,North,297,74,0,82.73,0,Snowy,0,79.8,Winter,0,85,6122.02,In Stock,,4.01,Pick First,Sufficient
2022-01-01,S005,P0008,Groceries,North,229,165,0,73.42,0,Snowy,0,84.61,Winter,0,149,12114.3,In Stock,,1.39,Pick First,Sufficient
2022-01-01,S005,P0009,Groceries,North,270,59,268,94.75,0,Snowy,0,112.34,Winter,0,94,5590.25,In Stock,,4.58,Pick First,Sufficient
2022-01-01,S005,P0010,Groceries,North,132,132,436,70.86,0,Snowy,0,63.54,Winter,0,136,9353.52,In Stock,,1.00,Pick First,Sufficient
2022-01-01,S005,P0011,Electronics,North,220,17,0,62.12,0,Snowy,0,55.78,Winter,0,15,1056.04,In Stock,,12.94,Pick First,Sufficient
2022-01-01,S005,P0012,Furniture,North,230,71,371,133.86,5,Snowy,0,118.2,Winter,0,84,9504.06,In Stock,,3.24,Pick First,Sufficient
2022-01-01,S005,P0013,Groceries,North,145,82,328,71.03,10,Snowy,0,78.02,Winter,0,116,5824.46,In Stock,,1.77,Pick First,Sufficient
2022-01-01,S005,P0014,Furniture,North,193,63,219,161.18,10,Snowy,1,156.66,Winter,0,82,10154.34,In Stock,,3.06,Pick First,Sufficient
2022-01-01,S005,P0015,Groceries,North,132,108,203,44.36,10,Snowy,0,52.84,Winter,0,93,4790.88,In Stock,,1.22,Pick First,Sufficient
2022-01-01,S005,P0016,Toys,North,131,59,191,32.84,0,Snowy,0,39.5,Winter,0,76,1937.56,In Stock,,2.22,Pick First,Sufficient
2022-01-01,S005,P0017,Toys,North,159,89,73,33.04,10,Snowy,0,37.53,Winter,0,88,2940.56,In Stock,,1.79,Pick First,Sufficient
2022-01-01,S005,P0018,Clothing,North,245,68,0,22.41,0,Snowy,0,22.24,Winter,0,88,1523.88,In Stock,,3.60,Pick First,Sufficient
2022-01-01,S005,P0019,Furniture,North,202,42,0,119.15,10,Snowy,0,102.4,Winter,0,47,5004.3,In Stock,,4.81,Pick First,Sufficient
2022-01-01,S005,P0020,Toys,North,131,79,105,28.66,10,Snowy,0,34.32,Winter,0,104,2264.14,In Stock,,1.66,Pick First,Sufficient
2022-01-02,S001,P0001,Electronics,North,93,71,0,65.63,5,Snowy,0,73.66,Winter,0,84,4659.73,In Stock,,1.31,Normal,Sufficient
2022-01-02,S001,P0002,Clothing,North,249,116,0,74.44,10,Snowy,0,87.66,Winter,0,175,8635.04,In Stock,,2.15,Normal,Sufficient
2022-01-02,S001,P0003,Clothing,North,133,130,0,66.15,0,Snowy,0,74.15,Winter,0,156,8599.5,In Stock,,1.02,Normal,Sufficient
2022-01-02,S001,P0004,Electronics,North,94,82,183,91.64,10,Snowy,0,105.17,Winter,0,78,7514.48,In Stock,,1.15,Normal,Sufficient
2022-01-02,S001,P0005,Groceries,North,87,87,487,63.35,0,Snowy,0,61.2,Winter,0,103,5511.45,In Stock,,1.00,Normal,Sufficient
2022-01-02,S001,P0006,Toys,North,149,77,172,36.93,5,Snowy,0,32.24,Winter,0,65,2843.61,In Stock,,1.94,Normal,Sufficient
2022-01-02,S001,P0007,Groceries,North,37,37,497,27.22,0,Snowy,0,31.11,Winter,0,127,1007.14,In Stock,,1.00,Normal,Sufficient
2022-01-02,S001,P0008,Electronics,North,202,37,0,37.38,5,Snowy,0,42.34,Winter,0,58,1383.06,In Stock,,5.46,Normal,Sufficient
2022-01-02,S001,P0009,Clothing,North,166,133,107,93.21,10,Snowy,0,83.66,Winter,0,126,12396.93,In Stock,,1.25,Normal,Sufficient
2022-01-02,S001,P0010,Furniture,North,122,105,498,129.03,10,Snowy,1,139.76,Winter,0,107,13548.15,In Stock,,1.16,Normal,Sufficient
2022-01-02,S001,P0011,Furniture,North,164,152,264,175.19,10,Snowy,1,187.65,Winter,0,130,26628.88,In Stock,,1.08,Normal,Sufficient
2022-01-02,S001,P0012,Groceries,North,168,168,397,96.27,10,Snowy,1,109.41,Winter,0,187,16173.36,In Stock,,1.00,Normal,Sufficient
2022-01-02,S001,P0013,Toys,North,166,73,90,32.72,10,Snowy,0,28.94,Winter,0,107,2388.56,In Stock,,2.27,Normal,Sufficient
2022-01-02,S001,P0014,Groceries,North,131,81,0,70.94,0,Snowy,0,66.18,Winter,0,75,5746.14,In Stock,,1.62,Normal,Sufficient
2022-01-02,S001,P0015,Toys,North,138,117,109,15.17,10,Snowy,1,16.81,Winter,0,110,1774.89,In Stock,,1.18,Normal,Sufficient
2022-01-02,S001,P0016,Groceries,North,25,25,0,35.58,0,Snowy,0,30.98,Winter,0,59,889.5,In Stock,,1.00,Normal,Sufficient
2022-01-02,S001,P0017,Toys,North,69,33,50,17.76,10,Snowy,0,16.08,Winter,0,42,586.08,In Stock,,2.09,Normal,Sufficient
2022-01-02,S001,P0018,Groceries,North,203,172,155,66.33,10,Snowy,0,56.8,Winter,0,144,11408.76,In Stock,,1.18,Normal,Sufficient
2022-01-02,S001,P0019,Furniture,North,220,35,0,93.29,10,Snowy,0,99.51,Winter,0,52,3265.15,In Stock,,6.29,Normal,Sufficient
2022-01-02,S001,P0020,Furniture,North,230,93,432,119.87,10,Snowy,0,111.8,Winter,0,92,11147.91,In Stock,,2.47,Normal,Sufficient
2022-01-02,S002,P0001,Groceries,South,0,0,350,86.71,10,Cloudy,0,85,Winter,0,137,0,OOS,,N/A,OOS,Urgent Replenishment
2022-01-02,S002,P0002,Toys,South,74,61,0,31.7,0,Cloudy,0,36.09,Winter,0,82,1933.7,In Stock,,1.21,Normal,Sufficient
2022-01-02,S002,P0003,Groceries,South,20,20,0,66.64,10,Cloudy,0,61.22,Winter,0,58,1332.8,In Stock,,1.00,Normal,Sufficient
2022-01-02,S002,P0004,Groceries,South,49,40,0,36.7,5,Cloudy,0,35.23,Winter,0,59,1468,In Stock,,1.23,Normal,Sufficient
2022-01-02,S002,P0005,Electronics,South,52,52,412,98.83,5,Cloudy,0,94.92,Winter,0,115,5139.16,In Stock,,1.00,Normal,Sufficient
2022-01-02,S002,P0006,Clothing,South,119,116,137,66.76,10,Cloudy,0,59.62,Winter,0,117,7744.16,In Stock,,1.03,Normal,Sufficient
2022-01-02,S002,P0007,Toys,South,144,95,0,30,0,Cloudy,0,28.44,Winter,0,95,2850,In Stock,,1.52,Normal,Sufficient
2022-01-02,S002,P0008,Groceries,South,99,99,153,29.35,0,Cloudy,0,34.68,Winter,0,140,2905.65,In Stock,,1.00,Normal,Sufficient
2022-01-02,S002,P0009,Groceries,South,0,0,263,74.78,0,Cloudy,0,83.48,Winter,0,158,0,OOS,,N/A,OOS,Urgent Replenishment
2022-01-02,S002,P0010,Groceries,South,318,179,0,101.56,25,Cloudy,1,98.18,Winter,0,234,18179.24,In Stock,,1.78,Normal,Sufficient
2022-01-02,S002,P0011,Groceries,South,157,135,474,91.4,15,Cloudy,1,109.66,Winter,0,137,12339,In Stock,,1.16,Normal,Sufficient
2022-01-02,S002,P0012,Electronics,South,119,75,511,65.63,15,Cloudy,1,56.85,Winter,0,115,4922.25,In Stock,,1.59,Normal,Sufficient
2022-01-02,S002,P0013,Groceries,South,59,45,0,20.47,0,Cloudy,0,22.07,Winter,0,75,921.15,In Stock,,1.31,Normal,Sufficient
2022-01-02,S002,P0014,Electronics,South,84,84,564,134.04,10,Cloudy,0,124.77,Winter,0,135,11259.36,In Stock,,1.00,Normal,Sufficient
2022-01-02,S002,P0015,Clothing,South,36,36,604,65.22,20,Cloudy,1,71.11,Winter,0,152,2347.92,In Stock,,1.00,Normal,Sufficient
2022-01-02,S002,P0016,Clothing,South,0,0,260,107.38,0,Cloudy,0,114.77,Winter,0,159,0,OOS,,N/A,OOS,Urgent Replenishment
2022-01-02,S002,P0017,Toys,South,81,63,323,18.69,10,Cloudy,0,20.42,Winter,0,92,1177.47,In Stock,,1.29,Normal,Sufficient
2022-01-02,S002,P0018,Clothing,South,143,74,87,26.16,5,Cloudy,0,31.4,Winter,0,92,1935.84,In Stock,,1.93,Normal,Sufficient
2022-01-02,S002,P0019,Clothing,South,82,66,439,93.88,0,Cloudy,0,85.41,Winter,0,101,6196.08,In Stock,,1.24,Normal,Sufficient
2022-01-02,S002,P0020,Furniture,South,83,77,214,134.4,0,Cloudy,0,124.57,Winter,0,70,10348.8,In Stock,,1.08,Normal,Sufficient
2022-01-02,S003,P0001,Toys,East,73,73,0,15.76,5,Cloudy,0,16.81,Winter,0,91,1150.48,In Stock,,1.00,Normal,Sufficient
2022-01-02,S003,P0002,Groceries,East,234,175,548,63.12,10,Cloudy,0,55.32,Winter,0,154,11046,In Stock,,1.34,Normal,Sufficient
2022-01-02,S003,P0003,Electronics,East,127,125,160,109.88,0,Cloudy,0,107.36,Winter,0,145,13735,In Stock,,1.02,Normal,Sufficient
2022-01-02,S003,P0004,Groceries,East,81,39,0,19.9,0,Cloudy,0,22.28,Winter,0,56,776.1,In Stock,,2.08,Normal,Sufficient
2022-01-02,S003,P0005,Toys,East,213,59,0,20.05,10,Cloudy,0,17.73,Winter,0,75,1182.95,In Stock,,3.61,Normal,Sufficient
2022-01-02,S003,P0006,Toys,East,121,70,96,40.69,0,Cloudy,0,39.79,Winter,0,91,2848.3,In Stock,,1.73,Normal,Sufficient
2022-01-02,S003,P0007,Groceries,East,124,124,0,16.3,10,Cloudy,0,19.56,Winter,0,132,2021.2,In Stock,,1.00,Normal,Sufficient
2022-01-02,S003,P0008,Clothing,East,236,121,306,132.2,5,Cloudy,0,148.43,Winter,0,156,15996.2,In Stock,,1.95,Normal,Sufficient
2022-01-02,S003,P0009,Groceries,East,130,78,86,52.56,10,Cloudy,0,51.15,Winter,0,105,4099.68,In Stock,,1.67,Normal,Sufficient
2022-01-02,S003,P0010,Groceries,East,224,92,0,32.73,20,Cloudy,1,32,Winter,0,96,3011.16,In Stock,,2.43,Normal,Sufficient
2022-01-02,S003,P0011,Electronics,East,2,2,386,113.61,25,Cloudy,1,126.49,Winter,0,163,227.22,In Stock,,1.00,Normal,Sufficient
2022-01-02,S003,P0012,Furniture,East,68,62,224,90.21,15,Cloudy,1,106.9,Winter,0,95,5593.02,In Stock,,1.10,Normal,Sufficient
2022-01-02,S003,P0013,Groceries,East,0,0,0,69.14,0,Cloudy,0,72.85,Winter,0,83,0,OOS,,N/A,OOS,Urgent Replenishment
2022-01-02,S003,P0014,Groceries,East,244,52,0,84.21,0,Cloudy,0,83.63,Winter,0,50,4378.92,In Stock,,4.69,Normal,Sufficient
2022-01-02,S003,P0015,Groceries,East,35,35,622,100.93,20,Cloudy,1,120.1,Winter,0,185,3532.55,In Stock,,1.00,Normal,Sufficient
2022-01-02,S003,P0016,Electronics,East,212,126,289,126.78,0,Cloudy,0,110.11,Winter,0,156,15974.28,In Stock,,1.68,Normal,Sufficient
2022-01-02,S003,P0017,Furniture,East,151,37,0,107.38,5,Cloudy,0,92.46,Winter,0,42,3973.06,In Stock,,4.08,Normal,Sufficient
2022-01-02,S003,P0018,Furniture,East,233,65,0,127.98,10,Cloudy,0,148.9,Winter,0,90,8318.7,In Stock,,3.58,Normal,Sufficient
2022-01-02,S003,P0019,Groceries,East,92,92,95,56.72,5,Cloudy,0,55.93,Winter,0,107,5218.24,In Stock,,1.00,Normal,Sufficient
2022-01-02,S003,P0020,Clothing,East,209,60,0,73.57,5,Cloudy,0,62.9,Winter,0,92,4414.2,In Stock,,3.48,Normal,Sufficient
2022-01-02,S004,P0001,Groceries,West,130,130,734,12.67,10,Sunny,0,11.95,Winter,0,160,1647.1,In Stock,,1.00,Normal,Sufficient
2022-01-02,S004,P0002,Groceries,West,216,121,225,23.71,0,Sunny,0,21.48,Winter,0,131,2868.91,In Stock,,1.79,Normal,Sufficient
2022-01-02,S004,P0003,Furniture,West,69,69,0,142.86,5,Sunny,0,134.09,Winter,0,81,9857.34,In Stock,,1.00,Normal,Sufficient
2022-01-02,S004,P0004,Groceries,West,80,20,0,38.88,5,Sunny,0,44.68,Winter,0,26,777.6,In Stock,,4.00,Normal,Sufficient
2022-01-02,S004,P0005,Clothing,West,92,92,152,83.84,10,Sunny,0,88.73,Winter,0,178,7713.28,In Stock,,1.00,Normal,Sufficient
2022-01-02,S004,P0006,Groceries,West,158,149,268,40.95,5,Sunny,0,34.97,Winter,0,134,6101.55,In Stock,,1.06,Normal,Sufficient
2022-01-02,S004,P0007,Groceries,West,142,142,563,36.85,0,Sunny,0,35.75,Winter,0,164,5232.7,In Stock,,1.00,Normal,Sufficient
2022-01-02,S004,P0008,Furniture,West,222,28,0,84.29,5,Sunny,0,90.72,Winter,0,46,2360.12,In Stock,,7.93,Normal,Sufficient
2022-01-02,S004,P0009,Clothing,West,100,100,494,120.17,10,Sunny,0,135.44,Winter,0,142,12017,In Stock,,1.00,Normal,Sufficient
2022-01-02,S004,P0010,Groceries,West,103,103,0,23.81,20,Sunny,1,26.5,Winter,0,142,2452.43,In Stock,,1.00,Normal,Sufficient
2022-01-02,S004,P0011,Clothing,West,135,130,688,64.39,25,Sunny,1,58.88,Winter,0,205,8370.7,In Stock,,1.04,Normal,Sufficient
2022-01-02,S004,P0012,Electronics,West,113,90,71,94.35,15,Sunny,1,102.02,Winter,0,84,8491.5,In Stock,,1.26,Normal,Sufficient
2022-01-02,S004,P0013,Groceries,West,32,32,501,24.95,0,Sunny,0,23.75,Winter,0,144,798.4,In Stock,,1.00,Normal,Sufficient
2022-01-02,S004,P0014,Furniture,West,58,58,185,175.28,0,Sunny,0,193.4,Winter,0,87,10166.24,In Stock,,1.00,Normal,Sufficient
2022-01-02,S004,P0015,Furniture,West,207,72,200,74.92,20,Sunny,1,82.61,Winter,0,65,5394.24,In Stock,,2.88,Normal,Sufficient
2022-01-02,S004,P0016,Furniture,West,81,67,0,122.71,0,Sunny,0,148.34,Winter,0,86,8221.57,In Stock,,1.21,Normal,Sufficient
2022-01-02,S004,P0017,Clothing,West,167,99,149,117.24,0,Sunny,0,111.57,Winter,0,138,11606.76,In Stock,,1.69,Normal,Sufficient
